roomId,user1Name,user2Name,createdAt,duration,reportedBy
1,User,User,2026-05-10T09:52:20.053Z,9228097,"[""WfBEGs00fTVr1T1rAAAJ""]"
2,User,User,2026-05-10T09:52:41.237Z,9292404,[]
3,Arkapravo,Shekhar Paaaa,2026-05-10T11:12:36.131Z,4501619,[]
4,Arkapravo,Shekhar Paaaa,2026-05-10T11:12:50.064Z,4490616,[]
5,User,Arkapravo,2026-05-10T11:13:08.884Z,4473939,[]
6,Shekhar Paaaa,User,2026-05-10T11:13:48.350Z,4449812,[]
7,Arkapravo,Shekhar Paaaa,2026-05-10T11:16:34.028Z,4289308,[]
8,User,Shekhar Paaaa,2026-05-10T11:16:47.788Z,4278464,[]
9,Shekhar Paaaa,User,2026-05-10T11:17:23.326Z,4245834,[]
10,Shekhar Paaaa,User,2026-05-10T11:17:29.308Z,4241945,[]
11,Shekhar Paaaa,Arpit,2026-05-10T11:22:06.050Z,3967571,[]
12,Shekhar Paaaa,User,2026-05-10T11:33:54.090Z,3267316,[]
13,User,Shekhar Paaaa,2026-05-10T11:34:03.911Z,3260462,[]
14,User,Krish,2026-05-10T11:49:36.807Z,2363450,[]
15,Krish,User,2026-05-10T11:49:42.367Z,2496994,[]
16,Krish,User,2026-05-10T11:49:48.899Z,2494644,[]
17,Krish,User,2026-05-10T11:49:53.931Z,2499531,[]
18,Krish,User,2026-05-10T11:49:57.664Z,2503822,[]
19,User,Krish,2026-05-10T11:50:03.840Z,2524989,[]
20,Tanubhav,suhani,2026-05-10T11:50:58.461Z,2488953,[]
21,User,Tanubhav,2026-05-10T11:52:27.802Z,2400952,[]
22,User,Tanubhav,2026-05-10T11:53:32.120Z,2498958,"[""pu-gtz9_JXf1_ITQAAAZ""]"
23,User,User,2026-05-10T11:53:38.949Z,2520535,[]
24,Tanubhav,User,2026-05-10T11:53:41.063Z,2527478,[]
25,Tanubhav,User,2026-05-10T11:53:45.013Z,2536834,[]
26,User,Tanubhav,2026-05-10T11:53:54.150Z,7896,[]
27,Tanubhav,User,2026-05-10T11:54:02.279Z,7627,[]
28,User,User,2026-05-10T11:54:10.140Z,16552,[]
29,Tanubhav,User,2026-05-10T11:54:24.657Z,24413,[]
30,User,User,2026-05-10T11:54:26.924Z,13886,[]
31,User,User,2026-05-10T11:54:41.042Z,4657,[]
32,User,User,2026-05-10T11:54:45.931Z,9946,[]
33,User,Tanubhav,2026-05-10T11:54:49.300Z,3575,[]
34,User,Tanubhav,2026-05-10T11:54:53.108Z,24081,[]
35,User,User,2026-05-10T11:54:56.110Z,1685,[]
36,User,User,2026-05-10T11:54:58.028Z,15507,[]
37,User,User,2026-05-10T11:55:13.766Z,21447,[]
38,User,Tanubhav,2026-05-10T11:55:17.420Z,4518,[]
39,User,User,2026-05-10T11:55:22.169Z,31391,[]
40,Tanubhav,User,2026-05-10T11:55:35.444Z,12270,[]
41,User,Tanubhav,2026-05-10T11:55:47.953Z,2748,[]
42,User,User,2026-05-10T11:55:50.935Z,2945,[]
43,Tanubhav,User,2026-05-10T11:55:53.792Z,1053,[]
44,User,User,2026-05-10T11:55:54.113Z,3804,[]
45,User,User,2026-05-10T11:55:58.150Z,7677,[]
46,User,User,2026-05-10T11:56:06.061Z,388,[]
47,User,User,2026-05-10T11:56:06.680Z,3183,[]
48,Papa,User,2026-05-10T11:56:10.097Z,3100,[]
49,User,Tanubhav,2026-05-10T11:56:13.131Z,2395,[]
50,User,Papa,2026-05-10T11:56:13.428Z,19284,[]
51,User,Tanubhav,2026-05-10T11:56:15.758Z,3370,[]
52,Tanubhav,User,2026-05-10T11:56:19.364Z,11687,[]
53,Tanubhav,User,2026-05-10T11:56:31.283Z,3004,[]
54,User,Papa,2026-05-10T11:56:32.943Z,3081,[]
55,Tanubhav,User,2026-05-10T11:56:34.520Z,4265,[]
56,User,Papa,2026-05-10T11:56:36.256Z,4025,[]
57,Tanubhav,User,2026-05-10T11:56:39.017Z,1843,[]
58,User,Papa,2026-05-10T11:56:40.512Z,1424,[]
59,User,Papa,2026-05-10T11:56:42.170Z,2214,[]
60,Tanubhav,User,2026-05-10T11:57:35.004Z,8792,[]
61,User,User,2026-05-10T11:58:59.538Z,45980,[]
62,User,User,2026-05-10T11:59:38.853Z,17562,"[""OofsrjBBbuyqjPDmAABL""]"
63,User,User,2026-05-10T11:59:45.752Z,13008,[]
64,User,User,2026-05-10T11:59:56.646Z,3637,[]
65,User,User,2026-05-10T12:00:00.514Z,1854,[]
66,User,User,2026-05-10T12:00:02.600Z,2740,[]
67,User,User,2026-05-10T12:00:05.572Z,295,[]
68,User,Userwww,2026-05-10T12:05:06.068Z,23320,[]
69,Userwww,User,2026-05-10T12:05:29.622Z,349952,[]
70,ANON,Shorya Taneja,2026-05-10T12:08:16.664Z,5180,[]
71,ANON,Shorya Taneja,2026-05-10T12:08:22.075Z,3571,[]
72,ANON,User,2026-05-10T12:09:30.584Z,20793,[]
73,User,ANON,2026-05-10T12:09:51.608Z,7470,[]
74,ANON,User,2026-05-10T12:09:59.309Z,3039,[]
75,User,ANON,2026-05-10T12:10:02.579Z,3244,[]
76,User,ANON,2026-05-10T12:10:06.053Z,2891,[]
77,User,ANON,2026-05-10T12:10:09.175Z,2592,[]
78,User,Rohan,2026-05-10T12:10:49.424Z,37835,[]
79,User-test,ANON,2026-05-10T12:11:35.931Z,7393,[]
80,Arkapravo,ANON,2026-05-10T12:12:07.144Z,23833,[]
81,ANON,Arkapravo,2026-05-10T12:12:31.211Z,4007,[]
82,ANON,Arkapravo,2026-05-10T12:12:35.454Z,4944,[]
83,User,ANON,2026-05-10T12:12:40.628Z,210000,[]
84,Arkapravo,User,2026-05-10T12:12:53.815Z,4927,[]
85,User,Arkapravo,2026-05-10T12:12:58.972Z,3352,[]
86,User,Arkapravo,2026-05-10T12:13:02.554Z,2427,[]
87,User,Arkapravo,2026-05-10T12:13:05.212Z,2925,[]
88,User,Arkapravo,2026-05-10T12:13:08.367Z,3768,[]
89,User,Arkapravo,2026-05-10T12:13:12.320Z,26646,[]
90,Arkapravo,User,2026-05-10T12:13:12.366Z,30196,[]
91,User,Arkapravo,2026-05-10T12:13:39.205Z,39165,[]
92,User,Arkapravo,2026-05-10T12:13:42.792Z,42787,"[""V1qc32PK1IIAcet7AABv""]"
93,User,yo,2026-05-10T12:13:55.193Z,32145,[]
94,Arkapravo,User,2026-05-10T12:14:18.601Z,20580,[]
95,Arkapravo,User,2026-05-10T12:14:25.811Z,46530,[]
96,User,yo,2026-05-10T12:14:27.569Z,5343,[]
97,yo,User,2026-05-10T12:14:33.144Z,34101,[]
98,User,Arkapravo,2026-05-10T12:14:39.413Z,79173,[]
99,yo,User,2026-05-10T12:15:07.477Z,4317,[]
100,User,Arkapravo,2026-05-10T12:15:12.573Z,31775,[]
101,User,User,2026-05-10T12:15:44.587Z,462,[]
102,Arkapravo,ANON,2026-05-10T12:16:10.870Z,14240,[]
103,User,User,2026-05-10T12:16:11.390Z,40067,[]
104,ANON,Arkapravo,2026-05-10T12:16:25.340Z,14262,[]
105,ANON,Arkapravo,2026-05-10T12:16:39.833Z,5364,[]
106,Shivansh,User,2026-05-10T12:16:51.367Z,8359,[]
107,User,User,2026-05-10T12:16:51.689Z,10329,[]
108,User,Arnav kumar,2026-05-10T12:16:58.672Z,34595,[]
109,User,Shivansh,2026-05-10T12:16:59.958Z,28160,[]
110,Arkopravo,User,2026-05-10T12:17:07.782Z,27829,[]
111,Tanubhav,Shivansh,2026-05-10T12:17:28.350Z,133946,[]
112,User,Arnav kumar,2026-05-10T12:17:33.498Z,15563,[]
113,User,User,2026-05-10T12:17:35.843Z,49121,[]
114,Arkopravo,stranger,2026-05-10T12:17:38.086Z,27239,[]
115,Arnav kumar,User,2026-05-10T12:17:49.301Z,41080,[]
116,stranger,Arkopravo,2026-05-10T12:18:05.556Z,24994,[]
117,User,User,2026-05-10T12:18:25.196Z,26795,[]
118,Arnav kumar,User,2026-05-10T12:18:30.613Z,18046,[]
119,Arkopravo,stranger,2026-05-10T12:18:30.774Z,108785,[]
120,User,User,2026-05-10T12:18:52.215Z,43462,[]
121,User,User,2026-05-10T12:19:35.907Z,23225,[]
122,Shivansh,Tanubhav,2026-05-10T12:19:42.520Z,19405,[]
123,User,User,2026-05-10T12:19:59.356Z,42655,[]
124,Ved,Shivansh,2026-05-10T12:20:02.149Z,8298,[]
125,Ved,Shivansh,2026-05-10T12:20:10.671Z,4271,[]
126,Shivansh,Ved,2026-05-10T12:20:15.165Z,47716,[]
127,stranger,Arkopravo,2026-05-10T12:20:19.783Z,23722,[]
128,User,User,2026-05-10T12:20:42.235Z,58464,[]
129,stranger,Arkopravo,2026-05-10T12:20:43.729Z,21295,[]
130,Shivansh,Ved,2026-05-10T12:21:03.106Z,38142,[]
